chemical_name,resolved_chemical_name
RRK,
RTOL,
Radon,RADON
Ramp,ETHYLENE GLYCOL
Rh,RHODIUM
Ribose,D-ribopyranose
Richter,Richter
Roh,
Rouge,Colloidal ferric oxide
Ru,RUTHENIUM
Ru0,
RuCl,chloro ruthenium
RuCl3,DTXSID101014308
RuK,
RuO4,Ruthenium tetroxide
Rubidium,RUBIDIUM
Rusterholtz,
Rutherford,
S,Insoluble sulfur
S assoc,
S c,
S e,
S iz,
S k,
S nh,
S s,ethanol
S sc,
S sup,
S46CH2CH2,
SCF,
SCOP,
SDpT,
SDpTv2,
SE,
SF2,13814-25-0
SF3,SCHEMBL5455591
SF4,SULFUR TETRAFLUORIDE
SF5,HAQZDUWRNKKMQY-UHFFFAOYSA-N
SF5CF3,"Sulfur, pentafluoro(trifluoromethyl)-"
SF6,SULFUR HEXAFLUORIDE
SF6EEDF,
SFC10H2,
SFe,ferrous sulfide
SO x,
SO2,sulfur dioxide
SOMAFOAM,
SPECTCOL,
SSCHO,Hydrogen carbonodithioate
SSH,disulfanide
STSVDF,
SUMO,
Sapphire,Emery
Saskatchewan,
Saturn,THIOBENCARB
Scenario A,
Scenario B,
Scenario C,
Schwartz,
Se,SELENIUM
Sec,Sec
Selma,PHENCYCLIDINE
Ser,L-serine
Shchedrin,
Sherman,PHENCYCLIDINE
Shield,CLOPYRALID
Si,SILICON
Si þ H,
Si2,DISILANE
Si2H2,SCHEMBL7197796
Si2H6,silylsilane
Si3N4,Silicon nitride
Si5H11,SCHEMBL16555106
Si5H12,"2,2-Disilyltrisilane"
SiBr4,Tetrabromosilane
SiC,SILICON CARBIDE
SiCl,Chlorosilane
SiCl2,Dichlorosilylene
SiF2,SiF2
SiF4,Tetrafluorosilane
SiGe,germylidynesilane
SiH,deuterosilane
SiH þ H,
SiH2,Silylene
SiH3,silylium
SiH4,SILANE
SiH4H2,silane hydrogen
SiO,Silicon monoxide
SiO2,SILICON DIOXIDE
Silane,SILANE
Silica,SILICON DIOXIDE
